source,target,num_players,total_amount,total_adjusted_amount,"num_young_players, num_middle_aged_players, num_old_players"
475,3057,21,0.01995,0.02568922305764411027568922306,18,1,2
479,1322,8,0,0,5,2,1
72,30,2,0.0057,0.006451612903225806451612903226,0,1,1
27603,2293,1,0,0,1,0,0
724,5544,1,0,0,0,1,0
1154,252,1,0,0,1,0,0
148,358,6,0.12462,0.1908435397178073282504175682,5,0,1
405,466,1,0.00074,0.0007943323314727350794332331473,1,0,0
5111,8007,1,0,0,1,0,0
3057,8510,2,0,0,2,0,0
39,65,2,0.0103,0.02151211361737677527151211362,1,0,1
19,130,10,0.0798,0.1196581196581196581196581197,8,1,1
6087,11278,1,0,0,1,0,0
3318,1111,1,0,0,0,1,0
306,383,5,0.11795,0.1577567656515024936077567656,3,1,1
2239,130,7,0.00285,0.002475247524752475247524752475,5,1,1
2740,3593,1,0,0,0,0,1
1426,1435,4,0,0,2,0,2
985,1039,3,0.0353,0.07372598162071846282372598162,0,1,2
840,1184,1,0,0,0,1,0
3999,2776,1,0,0,0,1,0
3060,37742,1,0,0,0,1,0
1085,39722,1,0,0,0,1,0
868,8294,1,0,0,1,0,0
1429,46,6,0.05985,0.1145685997171145685997171145,6,0,0
6646,820,1,0,0,1,0,0
1081,618,6,0.0057,0.01190476190476190476190476190,2,4,0
1533,3368,2,0,0,0,2,0
664,1301,1,0.00456,0.004894804637183340489480463718,1,0,0
40,22,1,0.0477,0.05398981324278438030560271647,0,1,0
1034,289,2,0,0,2,0,0
235,1227,4,0,0,3,0,1
337,204,1,0,0,0,0,1
1049,3709,8,0.1311,0.1893072474467823305032607359,6,2,0
11135,1083,1,0,0,0,1,0
6414,6996,7,0,0,1,5,1
1038,416,4,0.0821,0.08109790605546123372948500283,0,2,2
749,47317,1,0,0,1,0,0
420,3900,1,0,0,0,0,1
8512,1096,2,0,0,2,0,0
2444,17663,1,0,0,0,0,1
2441,3999,1,0,0,1,0,0
398,762,1,0,0,0,1,0
216,377,2,0,0,0,1,1
2477,11000,2,0.00798,0.005185185185185185185185185185,2,0,0
338,2374,2,0,0,0,1,1
10784,1436,7,0,0,6,1,0
472,897,5,0.0108,0.02493074792243767313019390582,3,1,1
449,740,2,0,0,1,0,1
601,10680,1,0,0,0,1,0
1049,6195,1,0,0,1,0,0
