source,target,num_players,total_amount,total_normalized_amount,num_young_players,num_middle_aged_players,num_old_players,total_amount_for_young_players,total_amount_for_middle_aged_players,total_amount_for_old_players,total_normalized_amount_for_young_players,total_normalized_amount_for_middle_aged_players,total_normalized_amount_for_old_players
3327,2420,2,0,0,2,0,0,0,0,0,0,0,0
749,410,15,0.02394,0.036785437,10,5,0,0.0228,0.00114,0,0.034188034,0.002597403,0
1426,403,3,0,0,1,2,0,0,0,0,0,0,0
11194,11083,18,0,0,17,1,0,0,0,0,0,0,0
3554,856,1,0,0,1,0,0,0,0,0,0,0,0
1025,2419,1,0,0,1,0,0,0,0,0,0,0,0
1073,161,1,0,0,1,0,0,0,0,0,0,0,0
192,200,6,0.00228,0.002631579,5,0,1,0.00228,0,0,0.002631579,0,0
132,1090,8,0.04389,0.049431745,6,2,0,0.04389,0,0,0.049431745,0,0
3008,1220,3,0,0,2,1,0,0,0,0,0,0,0
1416,1164,1,0,0,0,1,0,0,0,0,0,0,0
12,749,6,0.0131,0.011377454,5,1,0,0.0131,0,0,0.011377454,0,0
720,3197,2,0,0,1,1,0,0,0,0,0,0,0
6994,34853,1,0,0,0,1,0,0,0,0,0,0,0
982,1436,1,0,0,1,0,0,0,0,0,0,0,0
1784,599,2,0,0,1,1,0,0,0,0,0,0,0
6621,9010,1,0,0,1,0,0,0,0,0,0,0,0
7769,3345,1,0,0,0,1,0,0,0,0,0,0,0
128,35415,3,0,0,3,0,0,0,0,0,0,0,0
46,4271,3,0,0,3,0,0,0,0,0,0,0,0
10483,2209,1,0,0,1,0,0,0,0,0,0,0,0
2,25,2,0,0,0,1,1,0,0,0,0,0,0
999,11148,3,0,0,2,1,0,0,0,0,0,0,0
31,1042,4,0.00171,0.003418633,4,0,0,0.00171,0,0,0.003418633,0,0
150,16795,2,0,0,0,1,1,0,0,0,0,0,0
5,130,10,0.0257,0.052427581,8,2,0,0.0257,0,0,0.052427581,0,0
820,541,1,0,0,1,0,0,0,0,0,0,0,0
1083,932,15,0.02052,0.029122958,9,4,2,0.00912,0,0.0114,0.019221968,0,0.00990099
6890,3207,7,0,0,1,5,1,0,0,0,0,0,0
16795,273,2,0,0,2,0,0,0,0,0,0,0,0
683,448,2,0,0,2,0,0,0,0,0,0,0,0
681,2156,1,0,0,0,0,1,0,0,0,0,0,0
1041,667,5,0,0,4,1,0,0,0,0,0,0,0
12,1104,4,0.00798,0.017226875,3,1,0,0.00456,0.00342,0,0.01038961,0.006837265,0
1455,3064,1,0,0,1,0,0,0,0,0,0,0,0
941,11117,13,0,0,7,5,1,0,0,0,0,0,0
434,931,1,0,0,1,0,0,0,0,0,0,0,0
2698,2700,6,0,0,2,4,0,0,0,0,0,0,0
12583,327,1,0,0,1,0,0,0,0,0,0,0,0
1386,408,3,0,0,2,1,0,0,0,0,0,0,0
10391,1020,1,0,0,1,0,0,0,0,0,0,0,0
11609,34178,1,0,0,0,0,1,0,0,0,0,0,0
